term,reading,english,description,category
DNA,ディーエヌエー,DNA,デオキシリボ核酸。,生化学
RNAポリメラーゼ,アールエヌエーポリメラーゼ,,RNAを合成したり複製したりする酵素の総称。,生化学
アクチン,,actin,螺旋状の多量体を形成してマイクロフィラメントの1種であるアクチンフィラメントを形作る球形のタンパク質。,生化学
アスピリン,,aspirin,アセチルサリチル酸の商品名。,薬理学
アセチルコリン,,,動物の主に神経組織や植物にも含まれる塩基性の物質。コリンの酢酸エステル。神経の情報伝達物質の一つ。,生化学
アセチルサリチル酸,,acetylsalicylic acid,サリチル酸を無水酢酸でアセチル化して得られる白色の結晶。示性式C₆H₄(COOH)OCOCH₃。解熱剤、鎮痛剤として利用される。,薬理学
アデニン,アデニン,adenine,核酸を構成するプリン塩基の一つ。分子式はC₅H₅N₅。DNAではチミンと、RNAではウラシルとの水素結合により塩基対を作る。,生化学
アドレナリン,アドレナリン,adrenaline,副腎髄質から分泌されるホルモン。交感神経を興奮させ、心拍数や血圧・血糖値の上昇や瞳孔を開く作用をする。,生化学
アミラーゼ,,,澱粉を分解する酵素の総称。,生化学
アミロイド,,,蛋白と多糖類の複合体。,生化学
アンフェタミン,,,中枢神経を興奮させる覚醒剤の一つ。連用により耐性ができ、量を増やさなければ効果がでなくなる。,薬理学
インシュリン,インスリン,insulin,膵臓に存在するランゲルハンス島のβ細胞から分泌されるペプチドホルモンの一種。主として炭水化物の代謝を調整する機能を有する。分泌や消費に異常が生じ、インシュリンが不足する病症例が糖尿病である。,生化学
インターフェロン,インターフェロン,interferon,病原体や腫瘍細胞などに反応して生成され、それらの増殖を抑制する蛋白質。,生化学
ウラシル,ウラシル,uracil,リボ核酸を構成するピリミジン塩基の一つ。分子式はC₄H₄N₂O₂。RNAで、アデニンとの水素結合により塩基対を作る。,生化学
エストロゲン,,,卵巣から分泌される女性ホルモン。発情を促し女性の性器や乳房を発達などの作用がある。,生化学
エストロン,,,卵巣から分泌される女性ホルモン。発情を促し、女性の更年期障害の治療などに利用される。,生化学; 薬理学
エフェドリン,,,麻黄に含まれるアルカロイドの一つ。白色の結晶で、劇薬。せき止め、喘息などの治療薬のほか、覚醒剤の原料となる。,薬理学
エンドルフィン,,endorphin,哺乳類の脳や脳下垂体などに多く含まれ、脳内のオピエイト受容体と結合して鎮静作用を表す一群のペプチド。,生化学
カタラーゼ,,,多くの細胞に存在する過酸化水素を水と酸素に分解する反応の触媒する酵素。,生化学
カロリー,,calorie,"熱量の単位のひとつ。水一グラムを摂氏温度で一度上げるのに必要な熱量を一とする。小カロリー。記号はcal, ㎈。主に栄養学で用いられ、国際単位系ではジュールが用いられる。; キロカロリー。大カロリー。",栄養
キサンチン,,,動物の内臓や血液、植物の果実などにあり、動物の体内で酸化されて尿酸となる。,生化学
キシリトール,,,植物由来の成分キシランを原料とする甘味料。,生化学
キニーネ,,quinine,キナの樹皮から精製される無色で結晶のアルカロイド。苦味があり健胃剤、解熱剤などに使用され、マラリアの治療薬。,薬理学
クエン酸,くえんさん,citric acid,示性式 C(OH)(CH₂COOH)₂COOH、分子式 C₆H₈O₇で表される有機酸。無色・無臭の結晶で酸味を持つ。,生化学
クワシオルコル,,kwashiorkor,蛋白質の欠乏により足の浮腫や腹部の膨張などを引き起こす栄養失調。,栄養
グアニン,グアニン,guanine,核酸を構成するプリン塩基の一つ。分子式はC₅H₅N₅O。DNA又はRNAで、シトシンとの水素結合により塩基対を作る。,生化学
グラニュー糖,,granulated sugar,細かい顆粒状で純度の高い砂糖。,砂糖
グルコース,,glucose,単糖類の一つで、甘味のある無色の結晶。二種類あり、Ｄ‐グルコースはブドウ糖、L‐グルコースは人工的に作られたもの。,糖類
ケラチン,,keratin,毛、爪、うろこなどの角質層を形成する、蛋白質のひとつ。,生化学
コラーゲン,,,動物の腱、軟骨、皮膚など結合組織を構成する線維状の硬たんぱく質。にかわの原料となる。膠原質。,生化学
シトシン,シトシン,cytosine,核酸を構成するピリミジン塩基の一つ。分子式はC₄H₅N₃O。DNA又はRNAで、グアニンとの水素結合により塩基対を作る。,生化学
シュガー,シュガー,,砂糖。,砂糖
ジアスターゼ,,,1833年フランスで初めて麦芽から分離されたアミラーゼ。,生化学
スクロース,,,蔗糖。,糖類
ズッケロ,,,砂糖。,砂糖
チアミン,,,ビタミンB1の化学名。,ビタミン
チミン,チミン,thymine,デオキシリボ核酸を構成するピリミジン塩基の一つ。分子式はC₅H₆N₂O₂。DNAで、アデニンとの水素結合により塩基対を作る。,生化学
テストステロン,,,主な男性ホルモン。精巣から分泌されるステロイドホルモン。男性の第二性徴を促す作用をもつ。,生化学
ドメイン,,,蛋白質ドメイン。,生化学
ドーパミン,ドパミン,dopamine,運動調節、ホルモン調節、快の感情、意欲、学習などに関わる中枢神経系の神経伝達物質のひとつ。,生化学
ヒストン,,histone,真核生物の染色体を構成する塩基性タンパク質の一群。DNAを核内に収納する役割を担う。,生化学
ビタミン,ビタミン,vitamin,生物の成長に必要な栄養素の内、脂質、炭水化物、蛋白質、アミノ酸などを除く有機化合物の総称。,ビタミン
ビタミンA,ビタミンエー,vitamin A,脂溶性ビタミンのひとつ。化学的にはレチノイドと呼ばれ、狭義にはレチノールのみを指す。うなぎやレバーに多く含まれ、欠乏すると夜盲症などの原因となる。,ビタミン
ビタミンC,ビタミンシー,vitamin C,水溶性ビタミンの一つ。有機化合物におけるL-アスコルビン酸を指す。,ビタミン; 栄養; 生化学
フルクトース,,fructose; fruit sugar,六つの炭素をもつ単糖類。天然のものは果糖と呼ばれる。,糖類
ブドウ糖,ぶどうとう,,「葡萄糖」の別表記。,糖類
ペプシン,,,脊椎動物の胃液に含まれる酵素。酸性のなかで作用し、蛋白質を分解する。,生化学
マルトース,,,麦芽糖,糖類
メタンフェタミン,,methamphetamine,非常に中毒性のあるフェネチルアミン系覚醒剤。IUPAC名は、(S)-N-メチル-1-フェニルプロパン-2-アミンである。,薬理学
ラクトース,,lactose,乳糖。,糖類
リパーゼ,,,膵液、胃液などに含まれ中性脂肪を加水分解し脂肪酸とグリセリンとに分解する消化酵素。,生化学
上白糖,じょうはくとう,,質が上等な白砂糖。ショ糖を主成分とし、水分と転化糖（ブドウ糖と果糖の混合物）をそれぞれ1%程度含んだ結晶状のもの。,砂糖
主作用,しゅさよう,,医薬品の本来期待された作用。副作用に対していう。,薬理学
乳糖,にゅうとう,lactose,二糖類の低甘味度甘味料。哺乳類の母乳の中にある。ラクトース。,糖類
二糖類,にとうるい,,糖類のうち加水分解により二つの単糖類を生じるもの。二糖。,糖類
副作用,ふくさよう; ふくさよー,adverse effect; side effect,薬品が人体などに与える作用のうち、本来の治療の目的とは異なるもの。主に有害な作用を指す。,薬理学
単糖類,たんとうるい,,糖類のうち加水分解してそれ以上簡単な構造に分解できないもの。単糖。,糖類
和三盆,わさんぼん,,黄色味を帯びた上等の砂糖。香川、徳島の特産。,砂糖
唐三盆,とうさんぼん,,外国から輸入された質の高い白砂糖。,砂糖
多糖類,たとうるい,,糖類のうち2個以上の単糖類が結合したものであるが、特に澱粉などの高分子のもの。多糖。,糖類
少糖類,しょうとうるい,,糖類のうち単糖類が2個から10個程度結合したもの。オリゴ糖。,糖類
果糖,かとう,fructose; fruit sugar,果実や蜂蜜に含まれる単糖類の一種。別名はフルクトース。,糖類
栄養価,えいようか,,食物、食品の中の栄養的な価値。,栄養
栄養失調,えいようしっちょう; えーよーしっちょー,,栄養素が不足し、身体に何らかの異常が発生している状態。,栄養
栄養学,えいようがく,nutrition,食事や食品の中の栄養素が生命の維持および心身の健康の及ぼす影響など栄養について研究する学問。,栄養
栄養素,えいようそ,,生物が生命を維持し、成長するために栄養として体の外から取り入れる物質。,栄養
榮養學,えいようがく,,栄養学の漢字制限前の表記。,栄養
毒薬,,,毒性があり、劇薬よりも作用が激しい薬物。,薬理学
氷砂糖,こおりざとう,,純度の高い砂糖を水などに溶かし、ゆっくり水分をとばしてある程度の大きさの結晶とした食品。,砂糖
滋養,じよう; じよー,,栄養となるもの。,栄養
澱粉,でんぷん,starch,葉緑素を持つ植物が生産し養分として果実、葉、茎、根に貯蔵される炭水化物。動物にとって重要な栄養源となる。,栄養
炭水化物,たんすいかぶつ,carbohydrate,炭素・水素・酸素からなる糖類及びその誘導体の総称。含水炭素。,炭水化物
甘蔗糖,かんしょとう,,甘蔗（砂糖黍）の絞り汁を加工してつくられる砂糖。蔗糖。,砂糖
発酵,はっこう,fermentation,酵母などの微生物の作用により、有機化合物が分解すること。,生化学
白砂糖,しろざとう,,精製された白い粉末または固形の砂糖。,砂糖
相互作用,そうごさよう; インタラクション,interaction,蛋白質などの分子が特異的に会合すること。,生化学
砂糖,さとう,sugar,サトウキビ、テンサイ、サトウカエデなどから得られる甘味料。糖の一種。蔗糖が主成分。,砂糖
粗目糖,ざらめとう,,粒子は粗いが純度の高い砂糖。,砂糖
糖化,とうか,saccharification,澱粉やセルロースなどの炭水化物を酵素などの作用で分解し、糖類などに変化させること。また、その反応。,生化学
糖質,とうしつ; とーしつ,saccharide,糖分を含む物質。炭水化物。,栄養
糖類,とうるい; とーるい,,単糖類と少糖類と多糖類の総称。狭義では遊離糖類、すなわち単糖類と二糖類を指す。,糖類
脂肪,しぼう; しぼー,fat,パルミチン酸・ステアリン酸・オレイン酸等の、グリセリンエステルの混合物。動物体中、筋肉の間に介在する脂身と称する部分の大部を占める。比重は水より軽く、水には溶けないが、アルコール・エーテル・揮発油などには溶解する。水酸化ナトリウム又は過熱蒸気を以て鹼化すると、石鹼又はその成分である脂肪酸とグリセリンとを成生する。,栄養
脂質,ししつ,,脂肪やそれに類するような性質を有する物質の総称。,栄養
膠原質,こうげんしつ,,コラーゲン。,生化学
葉緑素,ようりょくそ,chlorophyll,緑色の植物や藻類などの細胞内にふくまれる緑色の色素。光合成を行うための重要なもの。クロロフィル。,生化学
