term,reading,english,description,category
DNA,ディーエヌエー,DNA,デオキシリボ核酸。,遺伝学
アデニン,アデニン,adenine,核酸を構成するプリン塩基の一つ。分子式はC₅H₅N₅。DNAではチミンと、RNAではウラシルとの水素結合により塩基対を作る。,遺伝学
ウラシル,ウラシル,uracil,リボ核酸を構成するピリミジン塩基の一つ。分子式はC₄H₄N₂O₂。RNAで、アデニンとの水素結合により塩基対を作る。,遺伝学
グアニン,グアニン,guanine,核酸を構成するプリン塩基の一つ。分子式はC₅H₅N₅O。DNA又はRNAで、シトシンとの水素結合により塩基対を作る。,遺伝学
ゲノム,,,DNAに含まれる遺伝情報の総体。,遺伝学
シトシン,シトシン,cytosine,核酸を構成するピリミジン塩基の一つ。分子式はC₄H₅N₃O。DNA又はRNAで、グアニンとの水素結合により塩基対を作る。,遺伝学
ジーン,ジーン,,遺伝子。,遺伝学
チミン,チミン,thymine,デオキシリボ核酸を構成するピリミジン塩基の一つ。分子式はC₅H₆N₂O₂。DNAで、アデニンとの水素結合により塩基対を作る。,遺伝学
メンデルの法則,,,遺伝に関する法則で分離の法則、独立の法則、顕性の法則からなる。,遺伝学
優性,ゆうせい; ゆうせー,,顕性。,遺伝学
劣性,れっせい; れっせー,,潜性。,遺伝学
接合子,せつごうし,,生物の生殖の際、それぞれの配偶子が接合や合体をして生じた細胞。,遺伝学
染色体,せんしょくたい,chromosome,遺伝情報を担う物質。遺伝子をコードするDNAを含む。,遺伝学
混系,こんけい,,種々の異なった遺伝質が混在する系統。,遺伝学
潜性,せんせい; せんせー,,対立形質のうち、次の代に発現しない方の形質。,遺伝学
赤の女王仮説,あかのじょおうかせつ,Red Queen hypothesis,「生存競争の中である生物種・個体・遺伝子が生き残るためには、常に持続的な進化をしていかなければならない」という仮説。,遺伝学
転写,てんしゃ,,DNAの塩基配列をもとにしてRNAが合成されること。,遺伝学
遺伝子,いでんし,gene,遺伝される形質の情報の単位。ほとんどの生物ではDNAによってコードされる。一部のウイルスではRNAによる。,遺伝学
遺伝子座,いでんしざ,locus; genetic locus,遺伝子がコードされる染色体上の領域。,遺伝学
配偶子,はいぐうし,,有性生殖で合体、接合、受精などにより新しい個体をつくる個々の生殖細胞。,遺伝学
顕性,けんせい; けんせー,,対立形質のうち、次の代に現れる方の形質。,遺伝学
