term,reading,english,description,category
しろめ,,,鉄、砒素、アンチモンなどを含む銅と亜鉛の合金。; 鉄、亜鉛、アンチモンなどを含む錫と鉛の合金。,合金
すず,スズ; すず,tin,原子番号 50、元素記号 Sn の金属元素。単体は常温常圧では銀白色の固体。,金属
なまり,,lead,原子番号 82、元素記号 Pb の金属元素。単体は常温常圧では蒼白色の固体。,金属
はんだ,はんだ,solder,金属の接合に用いられる錫と鉛を主成分とする合金。,合金
アイアン,アイアン,,鉄。,金属
アインスタイニウム,,einsteinium,原子番号 99、元素記号 Es の金属元素。アクチノイドに属する放射性元素。単体は常温常圧では固体。,金属
アクチニウム,アクチニウム,actinium,原子番号 89、元素記号 Ac の金属元素。アクチノイドに属する放射性元素。単体は常温常圧では銀白色の固体。,金属
アメリシウム,,americium,原子番号 95、元素記号 Am の金属元素。アクチノイドに属する放射性元素。単体は常温常圧では銀白色の固体。化学的性質はユウロピウムに類似する。,金属
アルミニウム,アルミニウム,aluminium; aluminum,原子番号 13、元素記号 Al の金属元素。単体は、常温常圧では銀色の固体。原料はボーキサイトで、精錬時に大量の電気を必要とする。イオンでは３価の陽イオンとなる。軽銀。礬素。アルミ。,金属
イッテルビウム,イッテルビウム,ytterbium,原子番号 70、元素記号 Yb の金属元素。ランタノイド。単体は常温常圧では銀白色の固体。,金属
イリジウム,イリジウム,iridium,原子番号 77、元素記号 Ir の金属元素。原子量192.2。単体は、常温常圧では銀白色の固体。,金属
インゴット,,,溶かした金属を鋳型に流し込み、冷やして固めた塊。鋳塊。鋼塊。,金属
インジウム,インジウム,indium,原子番号 49、元素記号 In の金属元素。原子量114.8。単体は、常温常圧では銀白色の固体。,金属
ウラン,,uranium,原子番号92、元素記号Uの金属元素。アクチノイドに属する放射性元素。単体は常温常圧では銀白色の固体。ウラニウム。,金属
エルビウム,エルビウム,erbium,原子番号 68、元素記号 Er の金属元素。原子量167.3。ランタノイド。単体は、常温常圧では銀白色の固体。,金属
カドミウム,カドミウム,cadmium,原子番号 48、元素記号 Cd の金属元素。単体は常温常圧では銀白色の固体。,金属
カリウム,,potassium,原子番号 19、元素記号 K の金属元素。アルカリ金属。単体は常温常圧では銀白色の固体。ポタシウム。,金属
カリホルニウム,カリホルニウム,californium,原子番号 98、元素記号 Cf の金属元素。アクチノイドに属する放射性元素。単体は常温常圧では固体。,金属
カルシウム,カルシウム,calcium,原子番号 20、元素記号 Ca の金属元素。アルカリ土類金属。単体は、常温常圧では銀白色の固体。動物の骨に多く含まれる。,金属
ガドリニウム,ガドリニウム,gadolinium,原子番号 64、元素記号 Gd の金属元素。原子量157.3。ランタノイド。単体は、常温常圧では銀白色の固体。,金属
ガリウム,ガリウム,gallium,原子番号 31、元素記号 Ga の金属元素。単体は、常温常圧では青みがかった銀白色の固体。,金属
