term,reading,english,description,category
55年体制,ごじゅうごねんたいせい,,自由民主党が与党、日本社会党が野党第一党を務める日本の政治体制。1955年から1993年まで続いた。,政治
BRIC,ブリック,,ブラジル (Brazil)、ロシア (Russia)、インド（India)、中華人民共和国 (China)の新興国4か国の総称。,政治
BRICS,ブリックス,,ブラジル (Brazil)、ロシア (Russia)、インド（India)、中華人民共和国 (China)、南アフリカ共和国 (South Africa)の新興国5か国の総称。,政治
BRICs,ブリックス,,ブラジル (Brazil)、ロシア (Russia)、インド（India)、中華人民共和国 (China)の新興国4か国の総称。,政治
CIVETS,シベッツ,,コロンビア (Colombia)、インドネシア (Indonesia)、ベトナム（Vietnam)、エジプト (Egypt)、トルコ (Turkey)、南アフリカ共和国 (South Africa)の新興国6か国の総称。,政治
G0,ジーゼロ,,世界に一つも超大国が存在しない状態。,政治
G10,ジーテン,,冷戦時代のヨーロッパでオーストリア、ベルギー、ブルガリア、デンマーク、フィンランド、ハンガリー、オランダ、ルーマニア、スウェーデン、ユーゴスラビアの10か国の総称。,政治
G11,ジーイレブン,,ヨルダン、クロアチア、エクアドル、ジョージア、エルサルバドル、ホンジュラス、インドネシア、モロッコ、パキスタン、パラグアイ、スリランカの11か国の総称。また、これらの国々で行われるフォーラム。,政治
G12,ジートウェルブ,,G10（語義2）にオーストラリアとスペインを加えた12か国の総称。また、これにスイスを加えた13か国で行われる国際会議。,政治
G14,ジーフォーティーン,,G7にロシア、中華人民共和国、インド、ブラジル、メキシコ、南アフリカ共和国、エジプトを加えた14か国。また、この14か国で行われるサミットの構想。,政治
G15,ジーフィフティーン,,ナイジェリア、アルジェリア、リビア、セネガル、ジンバブエ、ケニア、ブラジル、メキシコ、ジャマイカ、アルゼンチン、チリ、ベネズエラ、インドネシア、イラン、マレーシア、スリランカ、インドの17か国の総称。また、これらの国々で行われる国際会議。元々はユーゴスラビアを含み、チリ、イラン、ケニアを除く15か国であった。,政治
G2,ジーツー,,超大国としてのアメリカ合衆国、中華人民共和国の2か国。,政治
G20,ジートウェンティ,,G7にロシア、中華人民共和国、インド、ブラジル、メキシコ、南アフリカ共和国、アルゼンチン、オーストラリア、インドネシア、大韓民国、サウジアラビア、トルコを加えた19か国、並びにヨーロッパ連合と2023年に参加したアフリカ連合の総称。,政治
G3,ジースリー,,世界全体、もしくはある地域において政治的・経済的に重要な3つの国・地域。世界全体におけるアメリカ合衆国・中華人民共和国・ヨーロッパ連合、ヨーロッパ連合におけるフランス、イタリア、ドイツなど。,政治
G4,ジーフォー,,日本、インド、ブラジル、ドイツの4か国。国際連合安全保障理事会の常任理事国入りを目指している。,政治
G5,ジーファイブ,,日本、アメリカ合衆国、イギリス、フランス、ドイツ（1990年までは西ドイツ）の先進国5か国。,政治
G6,ジーシックス,,日本、アメリカ合衆国、イギリス、フランス、西ドイツ、イタリアの先進国6か国。,政治
G7,ジーセブン,,日本、アメリカ合衆国、イギリス、フランス、ドイツ（1990年までは西ドイツ）、カナダ、イタリアの先進国7か国。,政治
G77,ジーセブンティセブン,,発展途上国135か国（当初は77か国）の総称。また、これらの国々による連合体。,政治
G8,ジーエイト,,日本、アメリカ合衆国、イギリス、フランス、ドイツ、カナダ、イタリア、ロシアの主要国8か国。,政治
G9,ジーナイン,,冷戦時代のヨーロッパでオーストリア、ベルギー、ブルガリア、デンマーク、フィンランド、ハンガリー、オランダ、ルーマニア、スウェーデンの9か国の総称。後にユーゴスラビアを含めG10と呼ばれるようになった。,政治
NAFTA,ナフタ,,北米自由貿易協定（1994年発効、2020年失効）。,政治
NEXT11,ネクストイレブン,,イラン、インドネシア、エジプト、トルコ、ナイジェリア、パキスタン、バングラデシュ、フィリピン、ベトナム、メキシコ、大韓民国の新興国11か国の総称。,政治
PIIGS,ピーグス,,ポルトガル（Portugal)、イタリア (Italy)、アイルランド (Ireland)、ギリシャ (Greece)、スペイン (Spain)の5か国の総称。世界金融危機からの立ち直りが難しい国とされた。,政治
VISTA,ヴィスタ,,ベトナム（Vietnam)、インドネシア (Indonesia)、南アフリカ共和国 (South Africa)、トルコ (Turkey)、アルゼンチン (Argentine)の新興国5か国の総称。,政治
あかがり,,,公職から共産主義者・社会主義者を追放する政策。,政治
あまのぼり,,,民間企業の社員や外郭団体の職員が官公庁の職員になること。民間企業や外郭団体から官公庁へ出向すること。あまあがり。,政治
さんばん,,,選挙で当選するのに必要とされるものの総称。地盤(じばん)と看板(かんばん)と鞄(かばん)の三つの「ばん」を掛けた言葉。,選挙
しまぐに,,island state; island nation; island country,周りが海に囲まれている国家。,地政学
にしがわ,,,アメリカを中心にその同盟国で構成する資本主義陣営。,政治
ひがしがわ,,,ソ連を中心にその同盟国で構成する社会主義陣営。,政治
ゆ党,ゆとう,,野党でありながら、時に与党のように振る舞う政党。,政治
アルシング,,,アイスランドの議会。,政治
イギリス連邦,,,イギリスとその旧植民地を中心に構成される国家連合。英連邦。,政治
ウェストミンスター型,,,イギリス発祥の議院内閣制の仕組み。イギリス議会の議事堂があるウェストミンスター宮殿にちなむ。,政治
エアパワー,,,国家が支配下に置いている航空を利用する潜在的、顕在的な能力の総称。,地政学
グアム,,,上記の島を管轄するアメリカ合衆国の行政区分。主都はハガニア。; グルジア、ウクライナ、アゼルバイジャン、モルドバの4か国による国家連合（GUAM）。,政治
ゲリマンダー,,,選挙において与党が自党の有利になるように、選挙区を割り振ること。,選挙
コミュニスト,,,共産主義者。,共産主義
コミューン,,,フランスにおける最小の行政単位。,政治
コムーネ,,,イタリアにおける最小の行政単位。,政治
コロニアリズム,,,植民地主義。,政治
サイバーパワー,,,国家が支配下に置いているサイバー空間を利用する潜在的、顕在的な能力の総称。,地政学
サミット,サミット,,主要国首脳会議。,政治
シェンゲン圏,,,シェンゲン協定に加入しており、旅券や関税なしで自由に人や物が往来できる欧州の範囲。,政治
シャッターベルト,,,大国間や文明圏の間に位置し大国同士の対立が激しく不安定な地域。破砕帯。分断帯。,地政学
シーパワー,,,国家が支配下に置いている海洋を利用する潜在的、顕在的な能力の総称。,地政学
シーレーン,,,有事の際、国家が確保しなければならない海上の交通路。,地政学
スターリニスト,,,スターリニズムの支持者。,政治
スターリニズム,,,ソ連のスターリンを中心とする全体主義。,政治
スターリン主義,,,スターリン時代の恐怖政治や個人崇拝などの思想。,政治
スペースパワー,,,国家が支配下に置いている宇宙を利用する潜在的、顕在的な能力の総称。,地政学
スーパーチューズデー,,,アメリカ合衆国の予備選挙が多く行われる、3月の第2火曜日。,選挙
ゼロ打ち,,,選挙で出口調査などの結果から投票の終了と同時に当確を出すこと。,選挙
ソーシャル・ジャスティス・ウォリアー,ソーシャル; ジャスティス; ウォリアー,,フェミニズム、人権、文化多様性などの進歩的な思想を拡散する人々。; 1.の他、リベラリズム、ポリティカルコレクトネスなどの思想を行動的に拡散する人々。,政治
チベット,,,上記のうち、中華人民共和国が実効支配している地域（チベット自治区）。,政治
チャンスの弧,,,北アフリカ。,地政学
チョークポイント,,,海洋国家におけるシーパワーが戦略的に重要となる海上水路。,地政学
ツァー,ツァー,,ツァーリ。,元首
ツァーリ,ツァー; ツァール; ツァーリ,tsar,ブルガリアやロシアなどスラヴ語圏で使用された君主の称号。,元首
ツァール,ツァール,,ツァーリ。,元首
テーゼ,テーゼ,,政治運動における基本方針。綱領。,政治
ディスクロージャー,,full; disclosure,国や地方自治体が住民や国民の請求に応じて公文書を公開すること。,政治
ドージェ,,doge,ヴェネツィア、ジェノヴァなどの元首。,元首
ナチ,ナチ,,ドイツの政党、国家社会主義ドイツ労働者党の略称。1919年結成、1945年崩壊。,政治
ナチス,ナチス,,ドイツの政党、国家社会主義ドイツ労働者党の略称。1919年結成、1945年崩壊。,政治
ナチスト,,,ナチズムの支持者。,政治
ナチス党,,,ナチスに同じ。,政治
ナチ党,,,ナチスに同じ。,政治
ネオコロニアリズム,,,新植民地主義。,政治
ネオナチスト,,,ネオナチズムの支持者。,政治
ネガキャン,,,ネガティブキャンペーン。,選挙
ネガティブキャンペーン,,,相手候補者の欠点や過去の失態などを取り上げて誹謗、中傷する運動。,選挙
ハワイ,ハワイ,,上記の島々を管轄するアメリカ合衆国の州（ハワイ州）を略した呼称。,政治
ハートランド,,,ユーラシア大陸中心部。,地政学
パーティー,パーティ; パーティー,,政党、党派。,政治
ファシスト,,,ファシズムを支持する人。,政治
ファシズム,,,第一次世界大戦後、イタリアで興った政治理念。自由主義や共産主義に反対し、独裁的な政治体制、対外的な侵略政策を主張する。,政治
プランク,,,政党の綱領の一つの項目。,政治
プレッシャー・グループ,プレッシャーグループ,advocacy group; pressure group,圧力団体。,政治
プロパガンダ,,,人々の考え方や行動を特定の方向へ誘導するために組織的に行われる宣伝。とくに、政治目的のために行われるものや偏った情報のみを伝えているものを指すことが多い。,政治
ポストコロニアリズム,,,植民地主義を反省する考え方。,政治
ポリティカル,,,政治に関するさま。政治的。,政治
マニフェスト,,,選挙における、政党等の公約をまとめたもの。,政治
ヨーロッパの火薬庫,,,バルカン半島。,地政学
ライト,ライト,,右派、右翼、保守派。,政治
ランドパワー,,,国家が支配下に置いている陸地を利用する潜在的、顕在的な能力の総称。,地政学
リコール,,,有権者多数の要求により公務員を解職したり、議会を解散させること。解散請求。解職請求。,政治
リムランド,,,ユーラシア大陸沿岸周辺。,地政学
レジーム,レジーム,,政治形態。政体。,政治
レファレンダム,,,国民投票。,政治
レフト,レフト,,左派。左翼。,政治
レーニスト,,,レーニン主義を支持する人。,政治
レーニズム,,,レーニン主義。,政治
一つの中国,ひとつのちゅうごく,,大陸の中華人民共和国と台湾の中華民国のどちらかだけを正当な政府として認める主張。,政治
一党独裁,いっとうどくさい,,一つの政党が国の権力を掌握している状態。,政治
一票の格差,いっぴょうのかくさ,,選挙区ごとに有権者の数が異なるために当選に必要な票数が異なること。,選挙
一院制,いちいんせい,,一つの議会に一つの議院を置き、議案を審議することで迅速な審議を行う仕組み。,政治
不在者投票,ふざいしゃとうひょう,,投票の日に居住する自治体にいない者が滞在先から投票できる制度。,選挙
不安定の弧,ふあんていのこ,,アフリカやバルカン半島から中東を経由して東南アジア、朝鮮半島に至る不安定な地域。,地政学
不正選挙,ふせいせんきょ,,特定の候補に有利になるような不正な操作が意図的に行われた選挙。,選挙
両翼,りょうよく,,左翼と右翼の両方。,政治
両院,りょういん,,二院制の両方の議院。,政治
両院制,りょういんせい,,一つの議会に二つの議院を置き、両方で議案を審議することで慎重な審議を行う仕組み。,政治
中東,ちゅうとう,,インドより西のアフガニスタンを除く西アジアとアフリカ北部の総称。,地政学
中近東,ちゅうきんとう,,中東と近東の総称。,地政学
中道右派,ちゅうどううは,,中道のうち、やや右派に傾いた思想。,政治
中道左派,ちゅうどうさは,,中道のうち、やや左派に傾いた思想。,政治
主権国家,しゅけんこっか,,主権を持ち、他国の干渉を受けない国家。,政治
主権在民,しゅけんざいみん,,主権が国民一般にあるという考え。,政治
主権者,しゅけんしゃ,,主権を持っている者。日本では日本国憲法により国民が主権者である（主権在民）。,政治
予備選挙,よびせんきょ,,アメリカ合衆国の大統領選挙に先立って各党が行う、自党の候補を決める選挙。,選挙
二つの中国,ふたつのちゅうごく,,大陸の中華人民共和国と台湾の中華民国の両方を正当な政府として認める主張。,政治
二重内陸国,にじゅうないりくこく,doubly landlocked country,周りが陸の国境のみに囲まれ、かつ国境を接する国がすべて内陸国である国家。現在はウズベキスタンとリヒテンシュタインのみ該当。,地政学
二院制,にいんせい,,一つの議会に二つの議院を置き、両方で議案を審議することで慎重な審議を行う仕組み。,政治
人民共和国,じんみんきょうわこく,,民主主義と社会主義独裁の間にある政治体制で、形式的に野党は存在するが事実上政権交代は不可能な国家。,政治
代議,だいぎ,,公選された議員が国民を代表して評議すること。,政治
体制,たいせい; たいせー,social system; regime; régime; organism,社会や政治の組織だったしくみや秩序。社会体制の略。,政治
保守,ほしゅ,,伝統を守り急激な改革に反対すること。,政治
保守主義,ほしゅしゅぎ,conservatism,これまでに続いて来た慣習、制度、思想などを重視し、現状への大幅な変化や早急な変化を好まない考え方、イデオロギー。,政治
保守党,ほしゅとう,,保守主義の立場をとる政党。,政治
信託統治,しんたくとうち,,列強が国際連合の信託の下に旧委任統治地域などの非自治地域を統治したこと。,政治
党員,とういん; とーいん,,ある政党に所属する人。,政治
党派,とうは; とーは,,主義・思想・利害関係などを同じくする人々の集まり。; 党内の分派。,政治
党略,とうりゃく,,党派としての戦略。,政治
党首,とうしゅ,,政党のかしら。政党を対外的に代表する職、または人。,政治
入閣,にゅうかく,,国務大臣として内閣の一員となること。,政治
全会一致,ぜんかいいっち,,反対も出ずに全員賛成で成立すること。,政治
全体主義,ぜんたいしゅぎ,totalitarianism,個人よりも、国家など集団全体の利害を優先させる考え。; 国民の自由や決定権を認めず、国家の全体を政府に服従させる考え。,政治
公選,こうせん,,国民による選挙。,選挙
公選制,こうせんせい,,公職に就くものを任命ではなく有権者の選挙によって決定する方法。,政治
公開投票,こうかいとうひょう,,投票者の氏名を記し、誰が誰に投票したか分かるようにして行う投票。,選挙
共和党,きょうわとう,Republican Party,共和主義の実現を目標とした政党。,政治
共和制,きょうわせい; きょーわせー,,多数の人々の意思によって政治が行われる制度,政治
共和政,きょうわせい,,共和主義による政治。,政治
共産党,きょうさんとう; きょーさんとー,,共産主義の実現を目標とした政党。,政治
内務省,ないむしょう,,内政を担当する中央官庁。,政治
内政,ないせい,,国内の政治。,政治
内治,ないち; ないじ,,国内における政治。内政。,政治
内閣,ないかく,cabinet,国家における行政権を担当する合議機関。内閣総理大臣と国務大臣より構成される。,政治
内閣官房,ないかくかんぼう,,内閣法に基づき内閣の庶務、閣議事項の整理、さまざまな情報の収集などの業務を行うため、内閣の補助機関として設置されている行政機関。,政治
内閣総理大臣,,,日本の行政府である内閣の首長。別名、首相。,元首
内陸国,ないりくこく,landlocked,周りが陸の国境のみに囲まれていて、海に接していない国家。,地政学
再選,さいせん,,再び選挙すること。; 選挙の結果、前の任期と同じ人が選出されること。,選挙
准州,じゅんしゅう,,準州の別表記。,政治
出口調査,でぐちちょうさ,,投票所の出口で報道機関が個人から投票先を聞き取り、選挙結果を統計的に推定すること。,選挙
利益団体,りえきだんたい,advocacy group; pressure group,特定の集団の利益を図るために政治活動を行う団体。圧力団体。,政治
制限選挙,せいげんせんきょ,,選挙権に所得などの年齢以外の制限を付けて行われる選挙。,選挙
勅任議員,ちょくにんぎいん,,戦前の貴族院で天皇によって選ばれた議員。,政治
勢力均衡,せいりょくきんこう,,特定の国家が突出することによる脅威を抑制するため複数の国家が軍事力や同盟により等質性を与えることで地域の不安定化や紛争を防ぎ平和を維持する政策、理論。,地政学
北京政府,,,1913年から1928年まで北京に存在した中華民国の政府。; 北京に存在する中華人民共和国の政府。,政治
区政,くせい; くせー,,区の政治、行政。,政治
区議会,くぎかい,,地方公共団体の区における議決機関。,政治
南極投票,なんきょくとうひょう,,不在者投票の一種で投票日に南極の観測基地またはその往復の途上にあるため投票できない者に対して行われる。,選挙
参議院,さんぎいん,House of Councillors,日本の国会を構成する二つの議院のうちのひとつ。議員の任期は6年で、解散はない。貴族院に代わるものとして1947年に設立され主に衆議院の牽制機関としての役割を有するため、比較法的に上院と位置づけられる。,政治
参院選,さんいんせん,,参議院議員通常選挙の略。,選挙
反動主義,はんどうしゅぎ,,これまでに続いて来た慣習、制度、思想などを重視し、現状の変化を好まない考え方、イデオロギー。,政治
右派,うは,,組織内、特に政党の内部で保守的又は漸進的な一派。漸進派、保守派、右翼。,政治
右翼,うよく,right; right-wing; conservatives; conservative,保守的・国粋的な政治的立場。,政治
司法府,しほうふ,,国家で司法を行う機関。裁判所。,政治
同盟国,どうめいこく,,それぞれが同盟関係にある国家。,政治
回廊,かいろう,,廊下のように細長く突き出、他者の土地に囲まれた土地。回廊地帯。,地政学
国事犯,こくじはん,political prisoner,国家の政治的な事項に関する犯罪。,政治
国家主席,こっかしゅせき,president,アジアにおける社会主義国の元首の役職名。,元首
国家連合,こっかれんごう,,主権国家同士が主権を維持したまま結成する緩やかな連合。,政治
国政,こくせい,,国の政治,政治
国政選挙,こくせいせんきょ,,国会の議員を選ぶ選挙。,選挙
国民党,こくみんとう,National Party; Nationalist Party; People's Party,一般的に国家主義や民族主義などを掲げる政党。,政治
