term,reading,english,description,category
のび,のび,elongation,（伸び）材料の試験片を引っ張り、破断させた後の試験片の長さと試験片の元の長さの割合。材料の延性の程度を知る指標の一つ。破断伸びとも。,材料科学
やきいれ,,quenching,主に鉄鋼を、加熱した後に急冷することによって強度や硬度を高める熱処理。,材料科学
やきもどし,,tempering,焼入れした材料を再度加熱し、主に靭性を回復させる熱処理。,材料科学
イーサー,イーサ,,電子スピン共鳴(Electron Spin Resonance)の略。または、それを起こすための装置。,材料科学
シックスナイン,,,物質の純度が99.9999%以上であること。,材料科学
ローレンツ数,,,ウィーデマン=フランツの法則に於ける比例定数Lのこと。理論値はL=κ/(σT)=1/3((k_Bπ)/e)²。,材料科学
基地,きち; きじ,base; matrix,（きじ） 母材。マトリックス。,材料科学
塑性,そせい,plasticity,物体に力を加えたときのひずみが、力を取り去っても元に戻らない性質。,材料科学
展性,てんせい,malleability,金属を叩いたり圧延したりして延ばすことができる性質。,材料科学
弾性,だんせい; だんせー,elasticity,物体に力を加えたときのひずみが、力を取り去ると元に戻ろうとする性質。,材料科学
材料,ざいりょう; ざいりょー,material; data,物を製作したり料理を作ったりする元になるもの。,材料科学
機械性質,きかいせいしつ,,「機械的性質」に同じ。,材料科学
機械的性質,,,材料が持つ性質のうち、物理的な力・荷重が加わるときの変形や破壊などに関する性質。,材料科学
機械試験,きかいしけん,,材料の機械的性質を測定する試験。,材料科学
瀝青,れきせい; ビチューメン; チャン,,炭化水素からなる化合物やその混合物の総称。ニ硫化炭素に溶ける。,材料科学
疲労,ひろう; ひろー,lassitude; tiredness; weariness; fatigue,一回かかるだけでは破壊しないような力でも、何回も繰り返しかかることで、物体が破断あるいは損傷すること。,材料科学
疲労,ひろうする; ひろー,fatigue; frazzle; tire; weary; get; tired; poop out,一回かかるだけでは破壊しないような力でも、何回も繰り返しかかることで、物体が破断あるいは損傷する。,材料科学
相,あい; ソウ; ショウ; サン,,（ソウ） 純物質か混合物かを問わず、物体が巨視的に均一な化学的組成や物理的性質を持つときに、その均一な特性で物体の状態を区分したもの。位相。,材料科学
脆性,ぜいせい,brittleness,固体の物体において、物体が力を受けて破壊する際に塑性変形をほとんど起こさず破壊する性質。,材料科学
試片,しへん,,「試験片」に同じ。,材料科学
試験片,しけんへん,,材料の性質を試験するために、特別に造られたり実機から切り出したりして用意される、比較的小さな形をしたその材料の物体。試片。,材料科学
降伏,こうふく; ごうぶく; ごーぶく,surrender; yielding; yield,物体を一定以上変形させると、元の形状に戻らなくなる現象。,材料科学
