term,reading,english,description,category
G,ジー,,地球表面における重力加速度の大きさを1とする加速度の単位。,力学
N,エヌ,,磁石やコンパスが北を示す方の磁極。Sの対極。,物理学
X線,エックスせん,X-ray,1ピコメートルから10ナノメートル程度の短い波長をもつ電磁波。X線撮影などに用いられる。,物理学
α線,アルファせん,,アルファ線のギリシア文字を用いた表記。,物理学
β線,ベータせん,,ベータ線のギリシア文字を用いた表記。,物理学
γ線,ガンマせん,,ガンマ線のギリシア文字を用いた表記。,物理学
δ関数,デルタかんすう,,デルタ関数のギリシア文字を用いた表記。,物理学
しごと,しごとし; しごとせ; しごとさ; しごとする; しごとすれ; しごとしろ; しごとせよ; しごとしない; しごとせず; しごとされる; しごとします; しごとした; しごとすること; しごとすれば; しごと,work; job,物体に力を働かせて動かしたときの力と変位の内積。,物理学
ちから,ちから,power; force; strength; might,他のものに働きかけ運動や停止、変形などの変化を生じさせる作用。,力学; 電磁気学
なみ,なみ,wave; ripple,主に液体の表面に生ずる、上下方向の振動。特に、海の表面の振動。波浪。,物理学
ぬれる,ぬれ; ぬれる; ぬれれ; ぬれろ; ぬれよ; ぬれない; ぬれよう; ぬれます; ぬれた; ぬれること; ぬれれば,get; wet,固体の表面に液体の薄い膜ができる。表面張力が小さい場合におこる。,物理学
ねいろ,ねいろ,timbre,高さ・大きさと並ぶ音の三要素のひとつ。音の波形がこれにあたり、同じ高さの音をきいた時のきこえ方の違いを示す性質。,物理学
ば,ば,field,空間におけるある領域の各点である量が与えられている状態。一定の量を持った平面又は空間。,物理学
ひかり,ひかり,light,太陽や炎から発せられる、目に見えるもので、周囲の物を照らして見えるようにするもの。電磁波で、人の目に達して感覚（視覚）を生ずるもの。目に見える限界はそれぞれ、短波長側が360nm - 400nm、長波長側が760nm - 830nmの範囲にある。可視光線。,物理学
ひずみ,ひずみ,,物体に外力を加えたときに生じる形状・体積などの変化。,物理学
ひとみ,ひとみ,pupil,開口絞りを通して見える像。,光学
ほしがた,ほしがた,,有界領域Ωの滑らかな境界の各点 boldsymbol xとそこでの外向き単位法線ベクトル boldsymbol nとの間に不等式 boldsymbol x· boldsymbol n>0が成り立っていること。,ベクトル解析
ゆがみ,ゆがみ,,一般相対性理論で、重力により生じる空間の曲がり。,物理学
アイソトープ,アイソトープ,isotope,同位体のこと。ラジオアイソトープは放射性同位体のこと。,物理学
アボガドロの法則,アボガドロのほうそく,,全ての気体には同数の分子が存在する法則。アボガドロ-アンペールの法則。,物理化学
アルキメデスの原理,アルキメデスのげんり,,静止した物体が受ける浮力の大きさは、その物体が逃がした流体の重さに等しいという原理。,物理学
アルファ線,アルファせん,,放射線の一つで、放射性元素のα崩壊によるアルファ粒子の流れ。電離作用が強い。,物理学
