term,reading,english,description,category
下垂体,かすいたい,,脳下垂体。,脳
中枢神経系,ちゅうすうしんけいけい,central; nervous; system,神経系のうち全ての神経が集中し、統合、支配など神経の中枢となる部分。,神経解剖学
中脳,ちゅうのう,,脳の一部で間脳と後脳との間にある部分。,脳
側頭葉,そくとうよう,temporal lobe,大脳半球側面の外側溝より下の部分。,脳
前脳,ぜんのう,prosencephalon; forebrain,脊椎動物の個体が発生する際、神経管の先端にできる膨らみの最前部。,神経解剖学
前頭葉,ぜんとうよう,,大脳半球の中心の溝より前方の部分。,脳
右脳,うのう,,大脳半球の右側の部分。,脳
坐骨神経,ざこつしんけい,,下肢の感覚、運動をつかさどる神経。人体の中で一番長い。,神経解剖学
大脳,だいのう,,脳のうち間脳、中脳、左右の大脳半球からなる部分。,脳
大脳皮質,だいのうひしつ,,大脳半球の表層にある灰白色の層。神経細胞が多くある。,脳
小脳,しょうのう,cerebellum,脳髄の一部で大脳と脊髄の間にある。反射中枢。,脳
左脳,さのう,,大脳半球の左側の部分。,脳
延髄,えんずい,medulla oblongata,脊椎動物の脳の最下部にあり、脊髄に続く部分。,脳
後脳,こうのう,myelencephalon; afterbrain,脊椎動物の個体が発生する際、神経管の先端にできる膨らみの最後部。,神経解剖学
後頭葉,こうとうよう,,大脳半球の後方の部分。,脳
感覚神経,かんかくしんけい,,末梢神経の一つで、感覚器官で受けた刺激を脳の知覚中枢へ伝達する神経。知覚神経。,神経解剖学
末梢神経,まっしょうしんけい,,中枢神経系と体の各所を結ぶ神経の総称。,神経解剖学
松果体,しょうかたい,,脊椎動物の脳梁後端の上部にある松かさのような小さな器官。松果腺。,脳
松果腺,しょうかせん,,脊椎動物の脳梁後端の上部にある松かさのような小さな器官。松果体。,脳
橋,はし; ギョウ; キョウ,bridge,（キョウ）中脳と延髄の間の部分。脳橋。,脳
海馬,かいば,hippocampus,脳の短期記憶を司る部位。,脳
灰白質,かいはくしつ,,脳または脊髄において神経細胞が密集している灰白色の部分。,神経解剖学
白質,はくしつ,,脳、脊髄の白色の部分。有髄神経線維からなる。,神経解剖学
神経,しんけい,nerve; sensitivity,生体における運動や知覚などの情報伝達を担う組織。,神経解剖学
神経叢,しんけいそう,,末梢神経が基部または末端で分岐し形成する網状のもの。神経集網。,神経解剖学
神経細胞,しんけいさいぼう; しんけーさいぼー,nerve cell,神経組織を構成する基本的な細胞、ニューロン。,神経解剖学
神経線維,しんけいせんい,,神経細胞からのびる突起。軸索。,神経解剖学
肋間神経,ろっかんしんけい,,胸椎の間から出て肋間に分布する十二対の神経。,神経解剖学
脊髄,せきずい,spinal cord,脊椎動物の中枢神経の一つ。脊椎の中を通って延髄に続く。,神経解剖学
脳,あたま; なずき; ノウ; ドウ,,（ノウ、なずき） 動物の神経系を統御する器官。脳味噌。,脳
脳下垂体,のうかすいたい,pituitary,間脳底部から垂下する内分泌腺。前葉と後葉に分けられる。下垂体。,脳
脳幹,のうかん,brain stem,脳のうち大脳と小脳を除いた脳の根幹をなす部分。中脳、間脳、橋、延髄からなる。,脳
視床,ししょう,thalamus,間脳の大半を占める灰白質の塊。嗅覚以外の感覚の情報を大脳皮質へ中継し、感情の発現、運動の調節などにも関わる。,脳
視床下部,ししょうかぶ,hypothalamus,間脳の一部。視床の下部にあり脳下垂体に繋がる。自律神経系の中枢。,脳
視神経,ししんけい,,目の網膜から大脳の視神経交叉までの視覚の情報を伝達する神経の束。視束。,神経解剖学
軸索,じくさく,,神経細胞からでるもっとも長い突起。,神経解剖学
運動神経,うんどうしんけい,,脳の中枢から意識的な興奮を骨格筋などに伝える末梢神経の一つ。,神経解剖学
錐体,すいたい,,哺乳類の延髄上部。,脳
頭頂葉,とうちょうよう,,大脳半球の中央の頂部。,脳
髄膜,ずいまく,meninges,脳、脊髄を覆う膜。外側から硬膜、蜘蛛膜、軟膜の三層からなる。脳脊髄膜。,神経解剖学
