term,reading,english,description,category
100円ショップ,,,商品を100円に均一して販売する店舗。百均。,店舗
100均,ひゃっきん,,百均の別表記。,店舗
103万円の壁,ひゃくさんまんえんのかべ,,年収が103万円以上になることで所得税の配偶者控除の対象から外れ、配偶者特別控除に移行することから、年収がこの金額を下回るように勤務時間を調整する者がいることを比喩的に表した表現。,労働
106万円の壁,ひゃくろくまんえんのかべ,,年収が106万円以上になることで健康保険の被用者保険保険料の支払い義務が生じることから、年収がこの金額を下回るように勤務時間を調整する者がいることを比喩的に表した表現。,労働
130万円の壁,ひゃくさんじゅうまんえんのかべ,,年収が130万円以上になることで健康保険や国民年金の扶養から外れることから、年収がこの金額を下回るように勤務時間を調整する者がいることを比喩的に表した表現。,労働
1Q,,Q1; 1Q,第一四半期。,経済
2Q,,Q2; 2Q,第二四半期。,経済
3Q,,Q3; 3Q,第三四半期,経済
4Q,,Q4; 4Q,第四四半期,経済
A券,,,日本で1946年に発行が開始された紙幣。,通貨
B/S,ビーエス,,Balance Sheet の略。バランスシート、貸借対照表のこと。,会計; 経済
BRIC,ブリック,,ブラジル (Brazil)、ロシア (Russia)、インド（India)、中華人民共和国 (China)の新興国4か国の総称。,経済
BRICS,ブリックス,,ブラジル (Brazil)、ロシア (Russia)、インド（India)、中華人民共和国 (China)、南アフリカ共和国 (South Africa)の新興国5か国の総称。,経済
BRICs,ブリックス,,ブラジル (Brazil)、ロシア (Russia)、インド（India)、中華人民共和国 (China)の新興国4か国の総称。,経済
B券,,,日本で1950年に発行が開始された紙幣。,通貨
CF,シーエフ,,Cash Flow Statementの略。キャッシュ・フロー計算書。,会計
CIVETS,シベッツ,,コロンビア (Colombia)、インドネシア (Indonesia)、ベトナム（Vietnam)、エジプト (Egypt)、トルコ (Turkey)、南アフリカ共和国 (South Africa)の新興国6か国の総称。,経済
CVP分析,,,管理会計で原価・販売量・利益の関係の分析を行うこと。損益分岐計算。CVPはCost、Volume、Profitの略。,会計; 経済
C券,,,日本で1957年に発行が開始された紙幣。,通貨
D券,,,日本で1984年に発行が開始された紙幣。,通貨
E券,,,日本で2004年に発行が開始された紙幣。,通貨
F券,,,日本で2024年に発行が開始された紙幣。,通貨
G0,ジーゼロ,,世界に一つも超大国が存在しない状態。,経済
G10,ジーテン,,冷戦時代のヨーロッパでオーストリア、ベルギー、ブルガリア、デンマーク、フィンランド、ハンガリー、オランダ、ルーマニア、スウェーデン、ユーゴスラビアの10か国の総称。,経済
G11,ジーイレブン,,ヨルダン、クロアチア、エクアドル、ジョージア、エルサルバドル、ホンジュラス、インドネシア、モロッコ、パキスタン、パラグアイ、スリランカの11か国の総称。また、これらの国々で行われるフォーラム。,経済
G12,ジートウェルブ,,G10（語義2）にオーストラリアとスペインを加えた12か国の総称。また、これにスイスを加えた13か国で行われる国際会議。,経済
G14,ジーフォーティーン,,G7にロシア、中華人民共和国、インド、ブラジル、メキシコ、南アフリカ共和国、エジプトを加えた14か国。また、この14か国で行われるサミットの構想。,経済
G15,ジーフィフティーン,,ナイジェリア、アルジェリア、リビア、セネガル、ジンバブエ、ケニア、ブラジル、メキシコ、ジャマイカ、アルゼンチン、チリ、ベネズエラ、インドネシア、イラン、マレーシア、スリランカ、インドの17か国の総称。また、これらの国々で行われる国際会議。元々はユーゴスラビアを含み、チリ、イラン、ケニアを除く15か国であった。,経済
G2,ジーツー,,超大国としてのアメリカ合衆国、中華人民共和国の2か国。,経済
G20,ジートウェンティ,,G7にロシア、中華人民共和国、インド、ブラジル、メキシコ、南アフリカ共和国、アルゼンチン、オーストラリア、インドネシア、大韓民国、サウジアラビア、トルコを加えた19か国、並びにヨーロッパ連合と2023年に参加したアフリカ連合の総称。,経済
G3,ジースリー,,世界全体、もしくはある地域において政治的・経済的に重要な3つの国・地域。世界全体におけるアメリカ合衆国・中華人民共和国・ヨーロッパ連合、ヨーロッパ連合におけるフランス、イタリア、ドイツなど。,経済
G4,ジーフォー,,日本、インド、ブラジル、ドイツの4か国。国際連合安全保障理事会の常任理事国入りを目指している。,経済
G5,ジーファイブ,,日本、アメリカ合衆国、イギリス、フランス、ドイツ（1990年までは西ドイツ）の先進国5か国。,経済
G6,ジーシックス,,日本、アメリカ合衆国、イギリス、フランス、西ドイツ、イタリアの先進国6か国。,経済
G7,ジーセブン,,日本、アメリカ合衆国、イギリス、フランス、ドイツ（1990年までは西ドイツ）、カナダ、イタリアの先進国7か国。,経済
G77,ジーセブンティセブン,,発展途上国135か国（当初は77か国）の総称。また、これらの国々による連合体。,経済
G8,ジーエイト,,日本、アメリカ合衆国、イギリス、フランス、ドイツ、カナダ、イタリア、ロシアの主要国8か国。,経済
G9,ジーナイン,,冷戦時代のヨーロッパでオーストリア、ベルギー、ブルガリア、デンマーク、フィンランド、ハンガリー、オランダ、ルーマニア、スウェーデンの9か国の総称。後にユーゴスラビアを含めG10と呼ばれるようになった。,経済
GDP,ジーディーピー,,国内総生産。一定期間内に国内で産み出された付加価値の総額。,経済
NAFTA,ナフタ,,北米自由貿易協定（1994年発効、2020年失効）。,経済
NEXT11,ネクストイレブン,,イラン、インドネシア、エジプト、トルコ、ナイジェリア、パキスタン、バングラデシュ、フィリピン、ベトナム、メキシコ、大韓民国の新興国11か国の総称。,経済
P/L,ピーエル,,Profit and Loss Staterment の略。損益計算書のこと。,会計; 経済
PIIGS,ピーグス,,ポルトガル（Portugal)、イタリア (Italy)、アイルランド (Ireland)、ギリシャ (Greece)、スペイン (Spain)の5か国の総称。世界金融危機からの立ち直りが難しい国とされた。,経済
VISTA,ヴィスタ,,ベトナム（Vietnam)、インドネシア (Indonesia)、南アフリカ共和国 (South Africa)、トルコ (Turkey)、アルゼンチン (Argentine)の新興国5か国の総称。,経済
あおものや,,vegetable; fruit; shop,青物を売る店。,店舗
あまみどころ,,,甘い菓子や飲料を作って客に提供する飲食店。,飲食店
いざかや,,bar; inn; pub; tavern,簡単な料理を食べさせたり、安い酒を飲ませたりする簡易な酒場。,飲食店
いとや,,,糸を作って売る店。,店舗
い号券,いごうけん,,日本で1942年に発行が開始された紙幣。,通貨
うおだな,,,魚を売る店。さかなや。さかなだな。さかないち。,店舗
うどんや,,,饂飩を食べさせる店。その料理人。,飲食店
うなぎや,,,鰻料理を提供する店。,飲食店
うりあげ,うりあげ,,商品を売ったときに得られる代金。,会計
うりあげだか,うりあげだか,,商品の販売やサービスにより得た金額。,会計
うりたたく,,,相場を下げるため安値で多く売る。,経済
おうぎや,,,扇を作って売る店。,店舗
おおびけ,,,株式市場で1日の最後の取引。,金融
おけや,,cooper,桶を作って売る店。,店舗
おこのみやきや,,,お好み焼きを食べさせる店。その料理人。,飲食店
おにぎりや,,,御握りを作って売る店。,店舗
おむすびや,,,御結びを作って売る店。,店舗
おもちゃや,,,玩具を作って売る店。,店舗
おわりね,,,株式市場で1日の取引の最後に付いた価格。,金融
かいうめ,,,信用取引や先物取引、商品取引所の売買取引において売り約定をしても未決済のままの時に、現物の引き渡しをせず、買い取って決済すること。買い戻し。,会計
かいもどし,,,信用取引や先物取引、商品取引所の売買取引において売り約定をしても未決済のままの時に、現物の引き渡しをせず、買い取って決済すること。買い埋め。,会計
かぎや,,,錠前や鍵を作って売る店。; 鍵を使わずに開錠を行う店。,店舗
